Datum;Uur;Thuisploeg;Bezoekers;Plaats;
Zaterdag 3 januari 2026;;Nieuwjaar;;;
Zaterdag 10 januari 2026;14u30;NP;Duivenmelkers;;
Vrijdag 16 januari 2026;20:00u;Veteranen Zandhoven;NP;;
Zaterdag 24 januari 2026;13:30u;NP;Mengelmoes;;
Zaterdag 31 januari 2026;13:30u;NP;White-Star;;
Zaterdag 7 februari 2026;15:00u;NP;Dokters ;;
Vrijdag 13 februari 2026;19:30u;NP;Fanfare;;
Zaterdag 21 februari 2026;15:00u;NP;Heidelopers;;
Vrijdag 27 februari 2026;20:00u;De Nok;NP;;
Vrijdag 6 maart 2026;20:00u;Unitas;NP;;Deze match en 20 maart zijn 2 matchen tegen unitas, een ervan moet op hun plein doorgaan. Horen welk het makkelijkste is voor lentezon om thuis te spelen.
Zaterdag 14 maart 2026;13:30u;Np + teerfeest;Oud - Th;;
Vrijdag 20 maart 2026;20:00u;NP;Unitas;;Deze match en 6 maart zijn 2 matchen tegen unitas, een ervan moet op hun plein doorgaan. Horen welk het makkelijkste is voor lentezon om thuis te spelen.  
Zaterdag 28 maart 2026;;;;;
Zaterdag 4 april 2026;;;;;
Zaterdag 11 april 2026;15:00u (14:15u aan poort);Gelmelboys;NP;;
Vrijdag 17 april 2026;20:00u;Vet Zandhoven;NP;;
Vrijdag 24 april 2026;19:30u;Fanfare;NP;;
Zaterdag 2 mei 2026;14:00u;FC Broekant;NP;;
Zaterdag 9 mei 2026;Voetbaldag KSVOT;;;;
Zaterdag 16 mei 2026;?voetbaldag rooien?;;;;
Zaterdag 23 mei 2026;Voetbaldag Unitas;;;;
Zaterdag 30 mei 2026;;;;;
Zaterdag 6 juni 2026;;;;;
Zaterdag 13 juni 2026;;;;;
Zaterdag 20 juni 2026;;;;;
Zaterdag 27 juni 2026;Minivoetbal toernooi fanfare;;;;
Zaterdag 4 juli 2026;Zomer Stop;;;;
Zaterdag 11 juli 2026;Zomer Stop;;;;
Zaterdag 18 juli 2026;Zomer Stop;;;;
Zaterdag 25 juli 2026;Zomer Stop;;;;
Zaterdag 1 augustus 2026;14:00u;NP;B Reserven Weelde;;
Zaterdag 8 augustus 2026;15u00;FCNP;Witte Brecht;;
Zaterdag 15 augustus 2026;Paapgooien;;;;
Zaterdag 22 augustus 2026;Voetbaldag FC Broekkant;;;;
Zaterdag 29 augustus 2026;Voetbaldag White Star;;;;
Zaterdag 5 september 2026;Weekend Noordpool;;;;
Zaterdag 12 september 2026;;;;;
Zaterdag 19 september 2026;15:00u;Dokters ;NP;;
Vrijdag 25 september 2026;19:30u;Fanfare;NP;;
Zaterdag 3 oktober 2026;13u30;NP;Oud Turnhout;;
Zaterdag 10 oktober 2026;14u30;Duivenmelkers;NP;;
Vrijdag 16 oktober 2026;20:00u ;NP;Vet Zandhoven;;
Vrijdag 23 oktober 2026;20:00u;NP;Unitas;;Deze match en 4 december zijn 2 matchen tegen unitas, een ervan moet op hun plein doorgaan. Horen welk het makkelijkste is voor lentezon om thuis te spelen.
Zaterdag 31 oktober 2026;;White Star (Thuis of Uit kiezen);;;
Zaterdag 7 november 2026;;;;;
Zaterdag 14 november 2026;13u30;Oud Turnhout;NP;;
Vrijdag 20 november 2026;19:30u;NP;Fanfare;;
Zaterdag 28 november 2026;;;;;
Vrijdag 4 december 2026;20:00u;NP;Unitas;;Deze match en 23 oktober zijn 2 matchen tegen unitas, een ervan moet op hun plein doorgaan. Horen welk het makkelijkste is voor lentezon om thuis te spelen.
Zaterdag 12 december 2026;15:00u;NP;Dokters ;;
Vrijdag 18 december 2026;;Jenever toernooi zandhoven;;;
Zaterdag 26 december 2026;Kerstmis;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
9 Januari X uit 15u;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
13 Maart Thuis 13u30;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
